TIME,RISE,COUN,ENER,DURATION,AMP,SHEAR STRESS
110.8903213,3,9,3,94,60,1.811553151
110.9995477,7,60,118,478,86,1.811553151
111.0061002,16,21,17,196,72,1.811553151
111.0276258,22,7,3,68,62,1.811553151
111.0309703,8,47,88,838,86,1.811553151
111.0339853,103,15,9,439,62,1.811553151
111.0575962,15,13,5,100,62,1.816965421
111.0714132,3,7,3,56,62,1.816965421
111.1090862,10,4,1,31,59,1.816965421
111.1683777,6,5,1,48,60,1.816965421
111.2982833,14,3,1,47,54,1.816965421
111.4059463,2,3,1,33,56,1.818412169
111.4371702,6,11,6,89,68,1.818412169
111.6867738,3,2,1,19,58,1.827148475
111.853235,1,6,2,55,59,1.836251345
111.9470513,6,8,3,76,64,1.836251345
112.017887,2,7,2,50,57,1.836251345
112.0486282,2,1,2,50,50,1.836251345
112.3557048,2,4,1,26,58,1.844378101
112.3588903,2,4,1,27,60,1.844378101
112.3815482,4,5,2,30,64,1.844378101
112.3876007,113,18,9,190,62,1.844378101
112.4477132,9,20,13,154,69,1.844378101
112.450088,8,9,4,85,64,1.844378101
112.571183,14,14,8,171,69,1.853495993
112.714304,2,8,3,67,60,1.853495993
112.7162437,2,7,2,67,58,1.853495993
112.7527942,14,6,3,50,62,1.853495993
112.9003978,10,15,13,197,71,1.862373221
112.9051177,1,7,2,54,56,1.862373221
113.079528,9,110,628,1231,99,1.869175793
113.2000562,13,11,6,104,67,1.869175793
113.256762,6,20,13,182,73,1.869175793
113.5128738,3,4,1,27,59,1.869012882
113.674796,18,6,2,52,57,1.873393387
113.7291963,17,4,2,53,59,1.873393387
113.7311458,19,15,15,184,69,1.873393387
114.139332,6,8,3,62,63,1.88007239
114.3541207,3,27,33,330,75,1.891929758
114.4319673,7,21,16,195,74,1.891929758
114.4449188,3,8,4,79,64,1.891929758
114.4619987,15,12,7,98,68,1.891929758
114.4922527,19,33,34,293,78,1.891929758
114.5077432,6,9,4,86,64,1.891929758
114.5266058,6,8,3,83,61,1.891929758
114.5755878,7,4,1,15,58,1.898548899
114.6168912,7,1,1,15,50,1.898548899
114.6518232,27,33,56,367,79,1.898548899
114.7257712,20,15,8,173,65,1.898548899
114.7528007,16,7,2,52,59,1.898548899
114.7849687,6,5,1,52,59,1.898548899
114.8123368,20,3,1,25,58,1.900398809
114.8824007,3,2,1,23,60,1.900398809
115.085319,10,19,16,193,73,1.904817398
115.1784673,2,5,1,55,57,1.904817398
115.2649297,30,3,1,38,54,1.904817398
115.3600097,3,6,1,42,57,1.909359414
115.4264652,4,3,1,24,58,1.909359414
115.4879618,20,18,10,178,65,1.909359414
115.549426,20,1,10,178,50,1.909359414
115.9214868,5,12,7,88,70,1.921760149
115.935124,5,1,7,88,50,1.921760149
116.041279,4,3,1,24,56,1.921760149
116.1034158,31,18,13,211,68,1.927488347
116.163994,11,4,2,58,59,1.927488347
116.1720802,295,2,1,299,53,1.927488347
116.1815307,201,23,13,504,62,1.927488347
116.3872907,2,18,11,165,71,1.938589323
116.4594463,55,32,33,332,77,1.938589323
116.6202328,3,4,1,28,61,1.944939124
116.790803,1246,60,64,1580,80,1.944939124
116.7965383,3,4,1,53,58,1.944939124
116.8790028,3,4,1,53,54,1.94905426
116.9393463,3,9,3,56,63,1.94905426
116.9641142,3,5,2,60,57,1.94905426
117.0340402,4,3,1,24,60,1.94905426
117.084573,23,4,1,39,56,1.955591065
117.3503207,14,6,1,33,58,1.964103785
117.4669888,9,4,4,563,55,1.964103785
117.5003543,7,10,6,88,67,1.964103785
117.5043803,15,12,5,95,66,1.964103785
117.5265968,16,3,1,52,54,1.964103785
117.672755,30,12,11,196,67,1.964602273
117.690132,3,4,1,53,59,1.964602273
117.797503,2,9,3,56,62,1.964602273
117.878433,18,8,3,60,59,1.961893252
117.8843082,19,18,14,176,70,1.961893252
118.0152158,3,5,3,52,65,1.961893252
118.2265293,7,41,73,374,88,1.970308183
118.241164,22,2,1,27,55,1.970308183
118.3107323,3,19,17,178,70,1.978924711
118.4154023,25,22,15,485,71,1.978924711
118.468522,3,5,2,54,61,1.978924711
118.6483808,3,4,2,37,62,1.987593371
118.67276,15,14,8,116,66,1.987593371
118.702484,8,5,1,46,55,1.987593371
118.8239878,21,9,3,75,60,1.989147072
118.830057,6,7,3,55,64,1.989147072
118.9665232,625,8,3,678,57,1.989147072
118.9705528,2,29,29,287,78,1.989147072
118.9985153,15,16,11,172,71,1.989147072
119.036157,31,4,1,36,56,1.989147072
119.0634257,31,4,1,24,56,1.994685934
119.1325983,3,5,2,53,61,1.994685934
119.160645,3,1,2,53,50,1.994685934
119.192605,3,1,1,53,50,1.994685934
119.2845493,7,12,5,111,63,1.994685934
119.4230973,7,1,5,111,50,1.994659168
119.5589802,2,6,2,55,57,2.002172425
119.8435837,2,4,1,55,55,2.002148471
119.8786217,4,27,26,209,76,2.002148471
119.9090203,18,12,8,128,65,2.002148471
120.0036887,55,6,2,60,58,2.002148471
120.3250442,15,8,3,74,62,2.009513805
120.3538198,15,12,7,95,68,2.009513805
120.374846,7,10,7,88,69,2.009513805
120.3797717,7,1,7,88,50,2.009513805
120.385414,4,4,2,54,60,2.009513805
120.4740677,14,4,1,25,54,2.009513805
120.569429,14,5,1,37,55,2.016484017
120.6322213,3,3,1,24,57,2.016484017
120.913273,14,9,4,94,63,2.02278391
121.063876,6,7,3,55,61,2.025335757
121.0878837,3,28,23,280,72,2.025335757
121.1409913,3,29,26,305,72,2.025335757
121.218851,10,7,3,59,63,2.025335757
121.2551207,10,1,3,59,50,2.025335757
121.282963,3,7,4,57,66,2.025335757
121.2925293,25,3,1,47,55,2.025335757
121.420718,2,7,2,52,60,2.03003109
121.5101472,3,4,1,23,58,2.03003109
121.5638312,266,3,2,271,54,2.037744498
121.5938128,2,11,5,99,65,2.037744498
121.9392288,12,48,107,414,87,2.039184848
121.951315,2,3,1,23,58,2.039184848
121.9735097,6,11,5,79,67,2.039184848
122.058465,5,6,2,55,62,2.046361767
122.243113,5,1,2,55,50,2.046361767
122.303095,9,6,2,56,62,2.057178195
122.3897437,2,18,9,166,68,2.057178195
122.5278723,3,4,1,49,59,2.057178195
122.614917,9,14,11,157,73,2.057906906
